"PL_PAL_ShortDescription","PL_PAL_Identification","PL_ADD_Address1","PL_ADD_Address2","PL_ADD_Zip","PL_ADD_City","PL_ADD_Latitude","PL_ADD_Longitude"
"Auchan Leers MR","PCF00044-173105","Auchan Leers MR","Avenue de l Europe","59115","LEERS","50.680792","3.219327"
"Decathlon Villabé","PCF00040","Decathlon Villabé","6 Avenue des Courtes Epluches","91100","VILLABE","48.586251","2.449844"
"Bureau de Poste - Paris Médicis","PCG00142","Bureau de Poste Paris Médicis","24 rue de Vaugirard","75006","PARIS","48.849483","2.336850"
"Decathlon Varennes","PCF00042","Decathlon Varennes","Route de Fossard","77130","VARENNES","48.363007","2.954563"
"Bureau de Poste - Lyon Ste Foy","PCG00157","Bureau de Poste Lyon Ste Foy","15 Boulevard Baron du Marais","69110","STE FOY","45.735377","4.804774"
"GARE DE SAINTE-GENEVIEVE DES BOIS","PCG00082","Gare De Sainte-Geneviève Des Bois","6 Place de la gare","91700","SAINTE-GENEVIEVE-DES-BOIS","48.653110","2.312800"
"Decathlon Croissy Beaubourg","PCF00037","Decathlon Croissy Beaubourg","25 Allée du 1er mai","77183","CROISSY BEAUBOURG","48.829759","2.636829"
"GARE DE PANTIN","PCG00049","Gare De Pantin","Place du président Salvador Allende","93500","PANTIN","48.897580","2.400045"
"Bureau de Poste - Paris Brochant","PCG00149","Bureau de Poste Paris Brochant","141 Avenue Clichy","75017","PARIS","48.891093","2.319134"
"Bureau de Poste - Paris Citroen","PCG00145","Bureau de Poste Paris Citroen","27 rue Balard","75015","PARIS","48.843695","2.277405"
"Decathlon Marseille Bonneveine","PCF00041","Decathlon Marseille Bonneveine","Chemin du Roi d'Espagne","13000","MARSEILLE","43.239605","5.396887"
"Bureau de Poste - Paris St Lambert","PCG00136","Bureau de Poste Paris Saint Lambert","2 Rue Joseph Liouville","75015","PARIS","48.844797","2.297532"
"Bureau de Poste - Levallois Wilson","PCG00146","Bureau de Poste Levallois Wilson","68 rue du Président Wilson","92300","LEVALLOIS","48.893278","2.289605"
"Bureau de Poste - Paris Auteuil","PCG00147","Bureau de Poste Paris Auteuil","46 rue Poussin","75016","PARIS","48.848618","2.261656"
"Bureau de Poste - Paris Debussy","PCG00150","Bureau de Poste Paris Debussy","23bis rue Legendre","75017","PARIS","48.884173","2.313644"
"Bureau de Poste - Toulouse Capitole","PCG00143","Bureau de Poste Toulouse Capitole","9 rue Lafayette","31000","TOULOUSE","43.604960","1.444596"
"Bureau de Poste - Paris Denfert Rochereau","PCG00137","Bureau de Poste Paris Denfert Rochereau","15bis Avenue du général Leclerc","75014","PARIS","48.831926","2.330941"
"Bureau de Poste - Toulouse Rémusat","PCG00139","Bureau de Poste Toulouse Rémusat","25 rue de Rémusat","31000","TOULOUSE","43.606665","1.443996"
"Pickupstation DEMO","PCG93002","Pickupstation DEMO",,"93583","Saint Ouen","48.903535","2.347051"
"Packcity DEMO","NEO99999-171403","Packcity DEMO",,"75015","PARIS","48.831771","2.288073"
"Bureau de Poste - Paris Convention","PCG00138-161129","Bureau de Poste Paris Convention","204bis rue de la Convention","75015","PARIS","48.836927","2.297045"
"Bureau de Poste - Lyon Bellecour","PCG00174","Bureau de Poste Lyon Bellecour","10 Place Antonin Poncet","69002","LYON","45.756007","4.834155"
"Bureau de Poste - Paris Mercoeur","PCG00183","Bureau de Poste Paris Mercoeur","80 rue Léon Frot","75011","PARIS","48.857498","2.385167"
"Super U - Lodève","PCG00220","Super U Lodève","Avenue du général de Gaulle","34700","LODEVE","43.727216","3.323664"
"Bureau de Poste  Nantes Contrie","PCG00215","BP Nantes Contrie","1 Place Vincent Auriol","44100","NANTES","47.221353","-1.592429"
"Bureau de Poste - Beaulieu Viviani","PCG00213","Beaulieu Viviani","3 rue René Viviani","44200","NANTES","47.208126","-1.536400"
"Inter Ikea","PCF00031","Inter Ikea","19 Boulevard Jean Monnet","94360","BRY SUR MARNE","48.000000","2.000000"
"Bureau de Poste - Bordeaux Meriadeck","PCG00221","Bureau de Poste Bordeaux Meriadeck","37 rue du château d'eau","33000","Bordeaux","44.839658","-0.583261"
"Bureau de Poste - Paris Reine Blanche","PCG00148","Bureau de Poste Paris Reine Blanche","21 rue de la Reine Blanche","75013","PARIS","48.836278","2.353658"
"FNAC Boulogne","PCF00048","FNAC Boulogne","C.C. Les passages de l'hôtel de Ville","92100","Boulogne-Billancourt","48.837019","2.238564"
"Neopost Bagneux","PCF00047","Neopost Bagneux","113 Rue Jean Marin Naudin","92220","BAGNEUX","48.804780","2.324146"
"Bureau de Poste - Bordeaux Bastide","PCG00171","Bureau de Poste Bordeaux Bastide","80 avenue de Thiers","33100","Bordeaux","44.843553","-0.555560"
"Bureau de Poste - Paris Lourmel","PCG00179","Bureau de Poste Paris Lourmel","38 rue de Lourmel","75015","PARIS","48.848371","2.290277"
"Bureau de Poste Rueil Malmaison- ","PCG00163","Bureau de Poste Rueil Malmaison","6bis Place jean jaures","92500","Rueil Malmaison","48.877708","2.177101"
"Bureau de Poste Paris Batignolles- ","PCG00186","Bureau de Poste Paris Batignolles-","9 rue Mariotte","75017","PARIS","48.884195","2.320866"
"Bureau de Poste - Pessac Alouette","PCG00191","Bureau de Poste Pessac Alouette","31bis Avenue du Général Leclerc","33600","Pessac","44.796010","-0.666959"
"Nagayama-danchi Center","PCJ00003","Nagayama-danchi Center","4-2-3-101 Nagayama","2060025","Tokyo","35.620915","139.449263"
"Kotakemukaihara Station","PCJ00002","Kotakemukaihara Station","Nerima-ku","1760004","Tokyo","35.743620","139.679489"
"Yamato Center Takanodai","PCJ00001","Yamato Center Takanodai","3-35-14 Takanodai","1770033","Tokyo","35.725799","139.692090"
"Bureau de Poste Paris Champs de Mars ","PCG00194","Bureau de Poste Paris Champs de Mars","37 avenue de Rapp","75007","PARIS","48.858551","2.300753"
"Bureau de Poste Paris Sentier ","PCG00219","Bureau de Poste Paris Sentier","54 rue d'Aboukir","75002","PARIS","48.867299","2.345897"
"Bureau de Poste - Le Mans Vauguyon","PCG00185","Bureau de Poste Le Mans Vauguyon","59 rue Charles Faroux","72100","Le Mans","47.971927","0.220183"
"Bureau de Poste Antony Auguste Mounie","PCG00199-161010","Bureau de Poste Antony Auguste Mounie","32 rue Auguste Mounie","92160","Antony","48.753896","2.302650"
"Bureau de Poste Paris Les Tourelles","PCG00206","Bureau de Poste Paris Les Tourelles","339bis rue de Belleville","75019","Paris","48.876896","2.405387"
"Bureau de Poste - Montpellier Rondelet","PCG00140","Bureau de Poste Montpellier Rondelet","15 rue Rondelet","34000","Montpellier","43.603533","3.875030"
"Bureau de Poste - Toulouse Côté Pavée","PCG00152","Bureau de Poste Toulouse Côté Pavée","103 Avenue de Castres","31500","TOULOUSE","43.600561","1.476872"
"Bureau de Poste - Rennes Crimée","PCG00193","Bureau de Poste Rennes Crimée","101 avenue Henri Freville","35200","Rennes","48.087893","-1.674193"
"Bureau de Poste Paris Château Rouge ","PCG00180","Bureau de Poste Paris Château Rouge","39 Boulevard Barbès","75018","PARIS","48.887898","2.349498"
"Bureau de Poste Paris Patay","PCG00203","Bureau de Poste Paris Patay","26 rue de Patay","75013","Paris","48.825129","2.375708"
"Bureau de Poste - Nantes Eraudière","PCG00198","Bureau de Poste Nantes Eraudière","21 rue des Marsauderies","44300","Nantes","47.241913","-1.533186"
"Bureau de Poste - Nantes Bourgeonnière","PCG00197","Bureau de Poste Nantes Bourgeonnière","65 rue de la Bourgeonnière","44300","Nantes","47.252973","-1.557714"
"Bureau de Poste Paris Brèche aux loups","PCG00195","Bureau de Poste Paris Brèche aux loups","11 rue de Wattignies","75012","Paris","48.836891","2.392911"
"Bureau de Poste - Toulouse Roseraie","PCG00153","Bureau de Poste Toulouse Roseraie","167 rue Louis Plana","31500","TOULOUSE","43.619269","1.469237"
"Bureau de Poste Paris Buttes Chaumont","PCG00196-161122","Bureau de Poste Paris Buttes Chaumont","2 rue Goubet","75019","PARIS","48.884400","2.390230"
"Bureau de Poste Nantes Bretagne ","PCG00184","Bureau de Poste Nantes Bretagne","2 Bis rue President Herriot","44000","PARIS","47.217991","-1.560297"
"Bureau de Poste - Rennes Cleunay","PCG00181","Bureau de Poste Rennes Cleunay","33 bis rue Jules Lallemand","35000","Rennes","48.100496","-1.705990"
"Bureau de Poste - Paris Grande armée","PCG00200","Bureau de Poste Paris Grande Armée","58 avenue de la Grande Armée","75017","Paris","48.876798","2.286450"
"Bureau de Poste Paris La Fontaine ","PCG00162","Bureau de Poste Paris La Fontaine","3 rue Jean de La Fontaine","75016","PARIS","48.852541","2.275263"
"Bureau de Poste - Colomiers Plein Centre","PCG00192","Bureau de Poste Colomiers Plein Centre","Place du Languedoc","31770","Colomiers","43.610616","1.331271"
"Bureau de Poste - Decines Charpieu","PCG00242","Bureau de Poste Decines Charpieu","16bis Avenue Jean Mace","69150","DECINES-CHARPIEU","45.768391","4.955851"
"Bureau de Poste - Lyon Meyzieu","PCG00212","Bureau de Poste Lyon Meyzieu","18bis avenue Lucien Buisson","69330","Meyzieu","45.764909","4.998816"
"Bureau de Poste - Hem","PCG00244","Bureau de Poste Hem","122 bis boulevard Clemenceau","59510","HEM","50.660697","3.184550"
"Bureau de Poste - Bègles","PCG00247","Bureau de Poste Bègles","115 avenue Lucien Lerousseau","33130","Bègles","44.807699","-0.560383"
"Hikawadai Station","PCJ00004","Hikawadai Station","3-38-18 Hikawadai","1790084","Tokyo","35.749806","139.665000"
"Heiwadai Station","PCJ00005","Heiwadai Station","2-17-48 Hayamiya","1790085","Tokyo","35.757861","139.653778"
"Bureau de Poste - Paris Feuillantines","PCG00246","Bureau de Poste Paris Feuillantines","47 rue d'Ulm","75005","Paris","48.841497","2.343877"
"Chikatetsu Akatsuka Station","PCJ00006","Chikatetsu Akatsuka Station","8-37-16 Kitamachi","1790081","Tokyo","35.769972","139.644028"
"Auchan Direct","PCF00049","Auchan Direct","98 rue Saint Charles","75015","PARIS","48.845774","2.284492"
"Chikatetsu Narimasu Station","PCJ00007","Chikatetsu Narimasu Station","2-11-3 Narimasu","1750094","Tokyo","35.776528","139.631528"
"Bureau de Poste - Lille République","PCG00243","Bureau de Poste Lille République","8 Place de la République","59000","Lille","50.630994","3.060566"
"Bureau de Poste - Paris Le Marais","PCG00245","Bureau de Poste Paris Le Marais","27 rue des Francs Bourgeois","75004","Paris","48.857195","2.361586"
"Bureau de Poste - Aix en Provence La Rotonde","PCG00228","Bureau de Poste Aix en Provence la Rotonde","Square colonel Mattei","13100","Aix en Provence","43.525799","5.444450"
"Bureau de Poste - Paris Charonne","PCG00248","Bureau de Poste Paris Charonne","132 rue des Pyrénées","75020","Paris","48.858698","2.402789"
"Bureau de Poste - Marseille Pont de Vivaux","PCG00231","Bureau de Poste Marseille Pont de Vivaux","14 Boulevard Pont de Vivaux","13010","Marseille","43.279591","5.417968"
"GARE DE SAVIGNY LE TEMPLE","PCG00254","Gare De Savigny Le Temple","Place du 19 mars 1962","77176","SAVIGNY LE TEMPLE","48.596941","2.583285"
"GARE DE VERSAILLES RIVE GAUCHE","PCG00272","Gare De Versailles Rive Gauche","Avenue du Général de Gaulle","78000","VERSAILLES","48.800334","2.128839"
"GARE DE PORTE DE CLICHY","PCG00267","Gare De Porte de Clichy","187 Avenue de Clichy","75017","PARIS","48.894323","2.313872"
"GARE DE LES BOULLEREAUX","PCG00253","Gare De Les Boullereaux Champigny","26 Avenue Danielle Casanova","94500","CHAMPIGNY SUR MARNE","48.824962","2.511797"
"GARE DE MUSEE D'ORSAY","PCG00273","Gare De Musée d'Orsay","Rue de La Légion d'Honneur","75007","PARIS","48.886068","2.325215"
"Carrefour Market Rennes","PCF00051","Carrefour Market Rennes","4 rue de Brest","35000","Rennes","48.112678","-1.687996"
"GARE DE AUBERGENVILLE ELISABETHVILLE","PCG00250","Gare De Aubergenville Elisabethville","Rue de la gare","78410","AUBERGENVILLE","48.971937","1.848707"
"GARE DE CONFLANS STE HONORINE","PCG00252","Gare De Conflans Ste Honorine","Rue Eugène Berrurier","78700","CONFLANS STE HONORINE","48.997496","2.099173"
"GARE DE BRETIGNY","PCG00263","Gare De Bretigny","Rue d'Estienne d'Orves","91220","Brétigny sur Orge","48.606901","2.302544"
"GARE DE ATHIS MONS","PCG00260","Gare De Athis Mons","Place de Rothenbourg ob der Tauber","91200","ATHIS MONS","48.712738","2.402990"
"GARE DE BRUNOY","PCG00026","Gare De Brunoy","15 rue de la Republique","91800","BRUNOY","48.698789","2.505743"
"Gare de Bouray","PCG00262","Gare de Bouray","66 Nord Route Nationale","91510","Lardy","48.533046","2.290431"
"Tanglewood Davis","USA00005","Tanglewood Davis","1800 Cowell Blvd.","95618","Davis","38.539509","-121.728785"
"Gare d'Evry Val de Seine","PCG00257","Gare d'Evry Val de Seine","Rue Robert Pissonnier","91000","Evry","48.634635","2.452319"
"Gare d'Orangis Bois de l'Epine","PCG00266","Gare d'Orangis Bois de l'Epine","Avenue de la Résistance","91130","Ris-Orangis","48.636283","2.407516"
"Gare de Grigny Centre","PCG00258","Gare de Grigny Centre","Route de Corbeil","91350","Grigny","48.653337","2.395831"
"Bureau de Poste Toulon La Garde","PCG00238","Bureau de Poste Toulon la Garde","22 rue Marius Tardivier","83130","Toulon","43.122793","6.010045"
"Bureau de Poste - Toulouse Croix Daurade","PCG00159","Bureau de Poste Toulouse Croix Daurade","131 route d'albi","31200","Toulouse","43.636030","1.464105"
"Gare de Villepreux les Clayes","PCG00265","Gare de Villepreux les Clayes","Place du Petit Prince","78340","Clayes sous Bois","48.823718","1.993361"
"Gare de Plaisir les Clayes","PCG00255","Gare de Plaisir les Clayes","1566 Boulevard Leon Blum","78370","Plaisir","48.830749","1.960445"
"Gare de Les Yvris Noisy le Grand","PCG00264","Gare de Les Yvris Noisy le Grand","Avenue Lucien Salles","93160","Noisy le Grand","48.823094","2.579726"
"GARE DE EPONE MEZIERES","PCG00261","Gare De Epône Mézières","Place de la Gare","78680","Epône","48.963196","1.808076"
"Bureau de Poste - Hyères Principal","PCG00230","Bureau de Poste Hyères Principal","3 rue Edouard Branly","83400","Hyères","43.113497","6.135669"
"Gare de Nemours Saint Pierre","PCG00275","Gare de Nemours Saint Pierre","1 bis Avenue Carnot","77140","Saint Pierre les Nemours","48.268175","2.685605"
"Bureau de Poste - Aix en Provence Jas de Bouffan","PCG00227","Bureau de Poste Aix en Provence Jas de Bouffan","1 Rotonde du Bois de l'Aune","13090","Aix en Provence","43.526496","5.417318"
"Bureau de Poste - Toulouse Tournefeuille","PCG00222","Bureau de Poste Toulouse Tournefeuille","Place de la mairie","31170","Toulouse","43.582895","1.346057"
"Bureau de Poste - Montpellier Pompignane","PCG00210","Bureau de Poste Montpellier Pompignane","1 rue Marie Durand","34000","Montpellier","0.000000","0.000000"
"Bureau de Poste - Rennes Colombier","PCG00182","Bureau de Poste Rennes Colombier","27 boulevard du Colombier","35000","Rennes","48.103498","-1.677561"
"GARE D'AUSTERLITZ","PCG00277","Gare D'Austerlitz","85 Quai d'Austerlitz","75013","PARIS","48.842684","2.366846"
"Vestalia","PCF00053","Technocentre Renault","Accès GRADIENT - Place des frères Perret -","78280","Guyancourt","48.764115","2.088451"
"Gare de Ris Orangis","PCG00259","Gare de Ris Orangis","5 rue Edmond Bonte","91130","Ris Orangis","48.659479","2.414170"
"Bureau de Poste - La Seyne Sur Mer Principale","PCG00218","Bureau de Poste La Seyne Sur Mer Principale","386 Avenue Auguste Renoir","83500","La Seyne Sur Mer","43.082995","5.876397"
"Bureau de Poste Paris Bastille ","PCG00278","Bureau de Poste Paris Bastille","12 rue Castex","75004","PARIS","48.853195","2.366391"
"Oney Banque","PCF00050","Oney Banque","34 Avenue de Flandre","59170","Croix","50.668342","3.153349"
"GARE DE L'EST","PCG00280","Gare De L'Est","Place du 11 novembre 1918","75010","PARIS","48.876932","2.359989"
"Decathlon Gennevilliers","PCF00052-171406","Decathlon Gennevilliers","112 Avenue du général de Gaulle","92230","Gennevilliers","48.933568","2.316852"
"Mitsui Repark Nakano-honmachi","PCJ00009","Mitsui Repark Nakano-honmachi","4-33-3 Honmachi","1640012","Tokyo","35.694328","139.669902"
"Greenade Nagayama","PCJ00008","Greenade Nagayama","1-4 Nagayama","2060025","Tokyo","35.629208","139.448060"
"Demonstration 2","DEM00002","Neopost Shipping Japan office","3-7-1 Kanda Ogawamachi","1010052","Tokyo","35.694391","139.761386"
"GARE DE CHAVILLE VELIZY","PCG00281","Gare de Chaville Vélizy","16 Place de Verdun","78220","VIROFLAY","48.799571","2.184151"
"C.C Auchan Mont Saint Martin","PCF00054","C.C Auchan Mont Saint Martin","1 Boulevard de l'Europe","54350","MONT SAINT MARTIN","49.544487","5.797010"
"Gare de Les Essarts le Roi","PCG00276","Gare de Les Essarts le Roi","Rue de la Cité","78690","Essarts le Roi","48.721642","1.890136"
"Demonstration 4","DEM00004","Neopost Shipping Japan office","3-7-1 Kanda Ogawamachi","1010052","Tokyo","35.694391","139.761386"
"Demonstration 3","DEM00003-171805","Neopost Shipping Japan office","3-7-1 Kanda Ogawamachi","1010052","Tokyo","35.694391","139.761386"
"Gare de Besançon","PCG00285","Gare de Besançon","2 Avenue de la Paix","25000","Besançon","47.246122","6.021920"
"GARE DE MONTPARNASSE ","PCG00283","Gare de Montparnasse","17 Boulevard de Vaugirard","75015","PARIS","0.000000","0.000000"
"Gare de Libourne","PCG00284","Gare de Libourne","72 Avenue Gallieni","33500","Libourne","44.915730","-0.236803"
"Gare de Bordeaux Saint Jean","PCG00287","Gare de Bordeaux Saint Jean","Rue Charles Domercq","33800","Bordeaux","44.824901","-0.556709"
"Gare de Sarcelles Saint Brice","PCG00269","Gare de Sarcelles Saint Brice","Place de la Gare","95350","Saint-Brice sous Forêt","48.995003","2.368537"
"Gare de Saint Ouen l'Aumône Liesse","PCG00268","Gare de Saint Ouen l'Aumône Liesse","Rue du Champ Gaillard","95310","Saint-Ouen l'Aumône","49.034008","2.128353"
"Gare de Dijon","PCG00286","Gare de Dijon","31 Cour de la Gare","21000","Dijon","47.323690","5.027483"
"Gare d'Ecouen Ezanville","PCG00274","Gare d'Ecouen Ezanville","Rue de la gare","95440","Ezanville","49.023262","2.363227"
"Bureau de Poste Lyon Montchat","PCG00289","Bureau de Poste Lyon Montchat","3 Cours Eugénie","69003","Lyon","45.749799","4.886845"
"Gare de Saint Leu la Forêt","PCG00271","Gare de Saint Leu la Forêt","Place Cyrille Lecomte","95320","Saint-Leu la Forêt","49.015459","2.242943"
"Bureau de Poste Villeurbanne Gratte-Ciel","PCG00156","Bureau de Poste Villeurbanne Gratte-Ciel","29 rue Paul Verlaine","69100","Villeurbanne","45.767292","4.880350"
"Bureau de Poste Strasbourg Place des Halles","PCG00169","Bureau de Poste Strasbourg Place des Halles","24 Place des Halles","67000","Strasbourg","48.587000","7.741417"
"Bureau de Poste Massy Palaiseau","PCG00290","Bureau de Poste Massy Palaiseau","8 rue Carnot","91120","Massy Palaiseau","48.712295","2.245740"
"Gare du Nord","PCG00288","Gare du Nord","18 rue de Dunkerque","75010","Paris","48.880504","2.354745"
"Bureau de Poste Talence","PCG00291","Bureau de Poste Talence","262 cours Gambetta","33400","Talence","44.812691","-0.590508"
"MLIT Demo","PCJ00012","MLIT Demo","Chiyoda-ku Kasumigaseki 2-1-3","100-8918","Tokyo","35.676090","139.750355"
"Ikebukuro Station","PCJ00010","Ikebukuro Station","1-28-1 minami-ikebukuro","171-0022","Tokyo","35.728896","139.710345"
"Bureau de Poste Marseille Sainte Marguerite","PCG00233","Bureau de Poste Marseille Sainte Marguerite","61 boulevard de Sainte Marguerite","13009","Marseille","43.268794","5.404689"
"Gare de Chalon sur Saône","PCG00292","Gare de Chalon sur Saône","Place de la gare","71100","Chalon sur Saône","46.781813","4.843268"
"Keihan Neyagawashi Station","PCJ00016","Keihan Neyagawashi Station","16-11 Hayako-cho Neyagawa-shi","572-0837","Osaka","34.763985","135.620671"
"Keihan Kuzuha Station","PCJ00018","Keihan Kuzuha Station","Kuzuha Hanazono-cho Hirakata-shi","573-1121","Osaka","34.861980","135.675369"
"Keihan Hirakata-shi Station","PCJ00017","Keihan Hirakata-shi Station","19-14 Okahigashi-cho Hirakata-shi","573-0032","Osaka","34.815889","135.648728"
"Keihan Moriguchishi Station","PCJ00015","Keihan Moriguchishi Station","2 Chome Jinai-cho Moriguchi-shi","570-0056","Osaka","34.735118","135.565039"
"Bureau de Poste Pontoise","PCG00294","Bureau de Poste Pontoise","1 rue Victor Hugo","95300","Pontoise","49.051293","2.100306"
"Makuhari Station","PCJ00011","Makuhari Station","5 Chome Makuhari-cho Hanamigawa-Ku","262-0032","Chiba","35.659549","140.057829"
"DEMO00007","DEM00007","Neopost Shipping Japan office","3-7-1 Kanda Ogawamachi","1010052","Tokyo","35.694391","139.761386"
"DEMO00005","DEM00005-171801","Kanagawa-ken, Kawasaki-shi, Higashiogishima 6-10",,"2100869","Kawasaki","35.493922","139.751875"
